"C:\Program Files\Java\jdk1.8.0_131\bin\java" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58136:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\Program Files\Java\jdk1.8.0_131\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\rt.jar;D:\dev\751G10\MavenTest\target\classes;C:\Users\Will\.m2\repository\org\openjdk\jmh\jmh-core\1.0\jmh-core-1.0.jar;C:\Users\Will\.m2\repository\net\sf\jopt-simple\jopt-simple\4.6\jopt-simple-4.6.jar;C:\Users\Will\.m2\repository\org\apache\commons\commons-math3\3.2\commons-math3-3.2.jar" org.sample.MyBenchmark
# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58136:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod1

# Run progress: 0.00% complete, ETA 00:04:00
# Fork: 1 of 1
# Warmup Iteration   1: 14.425 ops/s
# Warmup Iteration   2: 24.470 ops/s
# Warmup Iteration   3: 25.510 ops/s
# Warmup Iteration   4: 26.204 ops/s
# Warmup Iteration   5: 26.874 ops/s
# Warmup Iteration   6: 27.249 ops/s
# Warmup Iteration   7: 27.963 ops/s
# Warmup Iteration   8: 27.677 ops/s
# Warmup Iteration   9: 27.772 ops/s
# Warmup Iteration  10: 27.374 ops/s
Iteration   1: 27.646 ops/s
Iteration   2: 27.724 ops/s
Iteration   3: 27.531 ops/s
Iteration   4: 27.123 ops/s
Iteration   5: 27.784 ops/s
Iteration   6: 27.048 ops/s
Iteration   7: 26.480 ops/s
Iteration   8: 27.400 ops/s
Iteration   9: 27.924 ops/s
Iteration  10: 27.952 ops/s
Iteration  11: 28.154 ops/s
Iteration  12: 27.439 ops/s
Iteration  13: 27.383 ops/s
Iteration  14: 27.404 ops/s
Iteration  15: 27.243 ops/s
Iteration  16: 28.100 ops/s
Iteration  17: 27.663 ops/s
Iteration  18: 27.489 ops/s
Iteration  19: 27.505 ops/s
Iteration  20: 27.652 ops/s
Iteration  21: 27.953 ops/s
Iteration  22: 27.613 ops/s
Iteration  23: 27.830 ops/s
Iteration  24: 28.095 ops/s
Iteration  25: 27.134 ops/s
Iteration  26: 26.848 ops/s
Iteration  27: 26.846 ops/s
Iteration  28: 26.936 ops/s
Iteration  29: 27.257 ops/s
Iteration  30: 25.141 ops/s
Iteration  31: 26.218 ops/s
Iteration  32: 26.239 ops/s
Iteration  33: 26.453 ops/s
Iteration  34: 27.006 ops/s
Iteration  35: 26.227 ops/s
Iteration  36: 27.988 ops/s
Iteration  37: 27.186 ops/s
Iteration  38: 27.459 ops/s
Iteration  39: 28.354 ops/s
Iteration  40: 27.132 ops/s
Iteration  41: 27.349 ops/s
Iteration  42: 26.489 ops/s
Iteration  43: 25.735 ops/s
Iteration  44: 24.963 ops/s
Iteration  45: 27.392 ops/s
Iteration  46: 26.554 ops/s
Iteration  47: 26.092 ops/s
Iteration  48: 27.364 ops/s
Iteration  49: 27.621 ops/s
Iteration  50: 26.184 ops/s


Result: 27.166 ±(99.9%) 0.371 ops/s [Average]
  Statistics: (min, avg, max) = (24.963, 27.166, 28.354), stdev = 0.750
  Confidence interval (99.9%): [26.795, 27.537]


# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58136:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod2

# Run progress: 25.00% complete, ETA 00:03:38
# Fork: 1 of 1
# Warmup Iteration   1: 16.485 ops/s
# Warmup Iteration   2: 27.377 ops/s
# Warmup Iteration   3: 27.077 ops/s
# Warmup Iteration   4: 27.048 ops/s
# Warmup Iteration   5: 26.494 ops/s
# Warmup Iteration   6: 27.793 ops/s
# Warmup Iteration   7: 26.220 ops/s
# Warmup Iteration   8: 26.835 ops/s
# Warmup Iteration   9: 26.540 ops/s
# Warmup Iteration  10: 27.738 ops/s
Iteration   1: 27.735 ops/s
Iteration   2: 27.331 ops/s
Iteration   3: 27.735 ops/s
Iteration   4: 26.359 ops/s
Iteration   5: 25.379 ops/s
Iteration   6: 24.233 ops/s
Iteration   7: 24.928 ops/s
Iteration   8: 31.147 ops/s
Iteration   9: 30.803 ops/s
Iteration  10: 29.063 ops/s
Iteration  11: 27.824 ops/s
Iteration  12: 28.078 ops/s
Iteration  13: 26.394 ops/s
Iteration  14: 26.641 ops/s
Iteration  15: 27.954 ops/s
Iteration  16: 27.972 ops/s
Iteration  17: 26.901 ops/s
Iteration  18: 26.930 ops/s
Iteration  19: 28.148 ops/s
